corpus,model,seed,cv_macro_f1,fold_std,n_works,n_authors,device
fiction,charcnn,20260922,0.26726208976208976,0.06094957732276953,114,12,cpu
fiction,charcnn,20260923,0.2596430693489517,0.017344026121457797,114,12,cpu
fiction,charcnn,20260924,0.22651166371754608,0.04637712283614584,114,12,cpu
fiction,bilstm,20260922,0.3070701058201058,0.03166192838711301,114,12,cpu
fiction,bilstm,20260923,0.3436676286676287,0.11220220534544131,114,12,cpu
fiction,bilstm,20260924,0.3405844155844156,0.09512965268834109,114,12,cpu
fiction,bigru,20260922,0.42671957671957667,0.11596297636127371,114,12,cpu
fiction,bigru,20260923,0.4316269841269841,0.055921076461768686,114,12,cpu
fiction,bigru,20260924,0.4232587782587783,0.028144919580148982,114,12,cpu
essays,charcnn,20260922,0.43607120482126316,0.036621831571781595,599,16,cpu
essays,charcnn,20260923,0.44058994016733655,0.05262217152276896,599,16,cpu
essays,charcnn,20260924,0.47109232208890683,0.06943244105769442,599,16,cpu
essays,bilstm,20260922,0.6336067984401665,0.024103723244713864,599,16,cpu
essays,bilstm,20260923,0.6674744333883375,0.03424913268918746,599,16,cpu
essays,bilstm,20260924,0.6894247333637182,0.036388126333762226,599,16,cpu
essays,bigru,20260922,0.6439960198085013,0.0448606394935792,599,16,cpu
essays,bigru,20260923,0.6342943683209018,0.06164780881664063,599,16,cpu
essays,bigru,20260924,0.6543000760936206,0.020379461889306744,599,16,cpu
