author,author_ml,display_name_ml,author_page,n_listed,sections,biography
M. N. Karassery,കാരശ്ശേരി എം എൻ,,https://books.sayahna.org/html/sfn-karassery.html,125, | ലേഖനങ്ങൾ,"മുഴുവൻ പേരു്: മുഹ്യുദ്ദീൻ നടുക്കണ്ടിയിൽ. കോഴിക്കോടു് ജില്ലയിലെ കാരശ്ശേരി എന്ന ഗ്രാമത്തിൽ 1951 ജൂലായ് 2-നു് ജനിച്ചു. പിതാവു്: പരേതനായ എൻ. സി. മുഹമ്മദ് ഹാജി. മാതാവു്: കെ. സി. ആയിശക്കുട്ടി. കാരശ്ശേരി ഹിദായത്തുസ്സിബിയാൻ മദ്രസ്സ, ഐ. ഐ. എ. യു. പി. സ്ക്കൂൾ, ചേന്ദമംഗല്ലൂർ ഹൈസ്ക്കൂൾ, കോഴിക്കോടു് ഗുരുവായൂരപ്പൻ കോളേജ്, കാലിക്കറ്റ് സർവ്വകലാശാലാ മലയാള വിഭാഗം എന്നിവിടങ്ങളിൽ പഠിച്ചു. സോഷ്യോളജി-മലയാളം ബി. എ., മലയാളം എം. എ., മലയാളം എം. ഫിൽ. പരീക്ഷകൾ പാസ്സായി. 1993-ൽ കാലിക്കറ്റ് സർവ്വകലാശാലയിൽ നിന്നു് ഡോക്ടറേറ്റ്. 1976–78 കാലത്തു് കോഴിക്കോട്ടു് മാതൃഭൂമിയിൽ സഹപത്രാധിപരായിരുന്നു. പിന്നെ അദ്ധ്യാപകനായി. കോഴിക്കോടു് ഗവ. ആർട്സ് ആന്റ് സയൻസ് കോളേജ്, കോടഞ്ചേരി ഗവ. കോളേജ്, കോഴിക്കോടു് ഗവ: ഈവനിങ്ങ് കോളേജ് എന്നിവിടങ്ങളിൽ ജോലി നോക്കി. 1986-മുതൽ കാലിക്കറ്റ് സർവ്വകലാശാലാ മലയാളവിഭാഗത്തിൽ. പുസ്തകങ്ങൾ: പുലിക്കോട്ടിൽ കൃതികൾ (1979), വിശകലനം (1981), തിരുമൊഴികൾ (1981), മുല്ലാ നാസറുദ്ദീന്റെ പൊടിക്കൈകൾ (1982), മക്കയിലേക്കുള്ള പാത (1983), ഹുസ്നുൽ ജമാൽ (1987), കുറിമാനം (1987), തിരുവരുൾ (1988), നവതാളം (1991), ആലോചന (1995), ഒന്നിന്റെ ദർശനം (1996), കാഴ്ചവട്ടം (1997) തുടങ്ങി എൺപതിലേറെ കൃതികൾ."
Kuttipuzha Krishnapilla,കുറ്റിപ്പുഴ കൃഷ്ണപിള്ള,,https://books.sayahna.org/html/sfn-kuttipuzha.html,146, | ലേഖനങ്ങൾ,"ജനനം: 1-8-1900; പിതാവു്: ഊരുമനയ്ക്കൽ ശങ്കരൻ നമ്പൂതിരി; മാതാവു്: കുറുങ്ങാട്ടു് ദേവകി അമ്മ; വിദ്യാഭ്യാസം: വിദ്വാൻ പരീക്ഷ, എം. എ. ആലുവാ അദ്വൈതാശ്രമം ഹൈസ്ക്കൂൾ അദ്ധ്യാപകൻ, ആലുവ യൂണിയൻ ക്രിസ്ത്യൻ കോളേജ് അദ്ധ്യാപകൻ, കേരള സാഹിത്യ അക്കാദമി പ്രസിഡന്റ് 1968–71, കേന്ദ്ര സാഹിത്യ അക്കാദമി അംഗം, ഭാഷാ ഇൻസ്റ്റിറ്റ്യൂട്ടു് ഭരണസമിതി അഗം, കേരള സർവ്വകലാശാലയുടെ സെനറ്റ് അഗം, ബോർഡ് ഓഫ് സ്റ്റഡീസ് അംഗം, പാഠ്യ പുസ്തക കമ്മിറ്റി കൺവീനർ (1958), ബാല സാഹിത്യ ശില്പശാല ഡയറക്ടർ (1958), ‘ദാസ് ക്യാപിറ്റൽ’ മലയാള പരിഭാഷയുടെ ചീഫ് എഡിറ്റർ, കേരള സാഹിത്യ സമിതി പ്രസിഡന്റ്. സാഹിതീയം, വിചാരവിപ്ലവം, വിമർശ രശ്മി, നിരീക്ഷണം, ഗ്രന്ഥാവലോകനം, ചിന്താതരംഗം, മാനസോല്ലാസം, മനന മണ്ഡലം, സാഹിതീകൗതുകം, നവദർശനം, ദീപാവലി, സ്മരണമഞ്ജരി, കുറ്റിപ്പുഴയുടെ തിരഞ്ഞെടുത്ത ഉപന്യാസങ്ങൾ, വിമർശ ദീപ്തി, യുക്തിവിഹാരം, വിമർശനവും വീക്ഷണവും, കുറ്റിപ്പുഴയുടെ പ്രബന്ധങ്ങൾ—തത്വചിന്ത, കുറ്റിപ്പുഴയുടെ പ്രബന്ധങ്ങൾ—സാഹിത്യവിമർശം, കുറ്റിപ്പുഴയുടെ പ്രബന്ധങ്ങൾ—നിരീക്ഷണം. സായാഹ്ന പ്രസിദ്ധീകരിച്ച കുറ്റിപ്പുഴ കൃഷ്ണപിള്ളയുടെ ഡിജിറ്റൽ പതിപ്പുകളുടെ കണ്ണികൾ ഇവിടെ ലഭ്യമാണു്."
KGS,കെജിഎസ്,,https://books.sayahna.org/html/sfn-kgs.html,12, | പ്രധാന കൃതികൾ | ലേഖനം | കവിത,"മലയാളകവിതയിൽ ആധുനികതയെ അനുഭവപ്പെടുത്തിയവരിൽ കെ ജി എസ് വേറിട്ടു നില്ക്കുന്നു. ഭാഷയിലും ഭാവുകത്വത്തിലും ആധുനികതയ്ക്കു് തന്റേതായ ഒരു ഒറ്റയടിപ്പാത അദ്ദേഹം നടന്നുണ്ടാക്കി. സമകാലികരായ പലരും കവിതകൊണ്ടു് സാമൂഹ്യാവസ്ഥയെ വിമര്ശിക്കുമ്പോൾ സ്വന്തം ജീവിതാവസ്ഥയുടെ ജനകീയവിചാരണകളായിരുന്നു കെ ജി എസ്സിന്റെ കവിത. വാക്കിന്റെ ശബ്ദഭംഗിയെ അല്ല അതിന്റെ ഉള്മുഴക്കത്തെയാണു് അദ്ദേഹം ശ്രദ്ധിച്ചതും പരിചരിച്ചതും. ‘അതേ ചെരിനോട്ടക്കാക്കപ്പകല്’ എന്നിങ്ങനെ അപൂർവ്വമായ പദച്ചേര്പ്പുകൾ കൊണ്ടും, ‘നന്ന(ല്ല)ങ്ങാടി’, ‘ഭാരംപര്യം’ എന്നിങ്ങനെ അർത്ഥഭേദത്തോടെ അക്ഷരച്ചേർപ്പുകൾ സൃഷ്ടിച്ചുകൊണ്ടും അദ്ദേഹം കാവ്യഭാഷയെ പുതുക്കിക്കൊണ്ടിരുന്നു. വാക്കിൽ കുറുകിയും പൊരുളിൽ കൂര്ത്തും ചിലപ്പോൾ കെ ജി എസ്സിന്റെ വരികൾ പഴഞ്ചൊല്വഴി തേടുന്നതായും കാണാം (മുദ്രകളില്ലാതില്ല വിരല്/വിത്തുകളില്ലാതില്ല വയല്). ഭാഷണത്തിന്റെ നാടകീയതയും കെ ജി എസ്സിന്റെ കാവ്യശില്പത്തെ വ്യത്യസ്തമാക്കുന്നു."
Kesari Balakrishna Pillai,കേസരി ബാലകൃഷ്ണപിള്ള,,https://books.sayahna.org/html/sfn-kesari.html,46, | ലേഖനങ്ങൾ,"പാശ്ചാത്യ സാഹിത്യ ചിന്തകളുടെ ഊഷ്മള ചൈതന്യം മലയാള ഭാഷയിലേക്കു് ആവാഹിച്ച ഫ്യൂച്ചറിസ്റ്റ് ചിന്തകനും വിമർശകനും. പത്രപ്രവർത്തകൻ, നിരൂപകൻ, ചരിത്രകാരൻ എന്നീ നിലകളിൽ ശ്രദ്ധേയനായ മലയാള സാഹിത്യകാരൻ ആയിരുന്നു കേസരി എന്നറിയപ്പെടുന്ന കേസരി എ. ബാലകൃഷ്ണപിള്ള. ജീവിതത്തിലും സാഹിത്യത്തിലും അദ്ദേഹം ഒരു വിപ്ലവകാരിയായിരുന്നു. 1889-ൽ തമ്പാനൂരിലെ പുളിക്കൽ മേലേ വീട്ടിൽ ജനനം. പണ്ഡിതനും ഗ്രന്ഥകാരനുമായ ദാമോദരൻ കർത്താവാണു് അച്ഛൻ. അമ്മ പാർവ്വതി അമ്മ. കുടിപ്പള്ളിക്കൂടത്തിലും കൊല്ലം ഹൈസ്ക്കൂളിലുമായി സ്ക്കൂൾ വിദ്യാഭ്യാസം. 1908-ൽ തിരുവനന്തപുരം മഹാരാജാസ് കോളേജിൽ നിന്നു് ചരിത്രം ഐഛികമായെടുത്തു് ബി. എ. ജയിച്ചു. ഗേൾസ് കോളേജിലും കൊല്ലം മഹാരാജാസ് കോളേജിലും ചരിത്രാദ്ധ്യാപകനായി ജോലി ചെയ്തു. സായാഹ്ന ക്ലാസിൽ പഠിച്ചു് 1913-ൽ ബി. എൽ. ജയിച്ചു. 1917-ൽ ജോലി രാജി വെച്ചു വക്കീലായി പ്രാക്റ്റീസ് തുടങ്ങി. 1922 വരെ തിരുവനന്തപുരം ഹൈക്കോടതിയിൽ വക്കീലായിരുന്നു. 1922 മെയ് 14-൹ സമദർശിയുടെ പത്രാധിപത്യം ഏറ്റെടുത്തുകൊണ്ടു് പത്രപ്രവർത്തന രംഗത്തേക്കു് പ്രവേശിച്ചു. 1926 ജൂൺ 19-൹ സമദർശിയുടെ പത്രാധിപത്യം രാജിവെച്ചു. സ്വന്തമായി ഒരു പത്രം തുടങ്ങുന്നതിനുള്ള പണം ശേഖരിക്കുന്നതിനായി തിരുവിതാംകൂറിലും, മലേഷ്യയിലും പര്യടനങ്ങൾ നടത്തി. 1930 ജൂൺ 4-൹ പ്രബോധകൻ ശാരദാ പ്രസ്സിൽ നിന്നും അച്ചടി ആരംഭിച്ചു. 1930 സെപ്തംബർ 10-൹ ലൈസൻസ് റദ്ദാക്കിയതുകൊണ്ടു് പ്രബോധകൻ നിർത്തി. പിന്നീടു് 1930 സെപ്തംബർ 18-൹ തന്നെ കേസരി പത്രം പ്രസിദ്ധീകരണം ആരംഭിക്കുന്നു. 1931 ഫെബ്രുവരി 19-൹ കോടതിയലക്ഷ്യത്തിനു് 200 രൂപ പിഴ ചുമത്തുന്നു. 1935 ഏപ്രിൽ മാസത്തോടെ കേസരി പ്രസിദ്ധീകരിക്കാൻ കഴിയാതാവുകയും 1936-ൽ കടം താങ്ങാനാവാതെ ശാരദാ പ്രസ്സും ഉപകരണങ്ങളും വിൽക്കുകയും ചെയ്യുന്നു. പാശ്ചാത്യ സാഹിത്യത്തെ മലയാളികൾക്കു് പരിചയപ്പെടുത്തിക്കൊടുത്തതു് കേസരിയാണു്. ലോകത്തെ വിപ്ലവകരമായി മാറ്റിമറിക്കുന്നതിനു് പ്രയോഗിക്കേണ്ട ഒരായുധമായിട്ടാണു് അദ്ദേഹം സാഹിത്യത്തെ കണ്ടതു്. വൈദേശിക സാഹിത്യപ്രസ്ഥാനങ്ങളെ മുൻ നിർത്തി മലയാളസാഹിത്യത്തെ വിലയിരുത്താനാണു് അദ്ദേഹം ഉദ്യമിച്ചതു്. പ്രസ്ഥാന നിരൂപകൻ, സാങ്കേതിക നിരൂപകൻ, ചിത്രകലാ നിരൂപകൻ, എന്നൊക്കെയാണു് കേസരി വിശേഷിപ്പിക്കപ്പെടുന്നതു്."
V. V. Govindannair,ഗോവിന്ദന്നായർ വി വി,,https://books.sayahna.org/html/sfn-vv-govindan.html,5, | ലേഖനങ്ങൾ,"ജനനം: 1942, അച്ഛൻ: വി. ഗോവിന്ദൻ നായർ, അമ്മ: വി. വി. നാരായണി, കൊൽക്കത്തയിലെ രാമകൃഷ്ണ മിഷൻ ഇൻസ്റ്റിറ്റ്യൂട്ട് ഓഫ് കൾച്ചറിൽ നിന്നു് സംസ്കൃതത്തിലും ബംഗാളിയിലും ഡിപ്ലോമ. കൃതികൾ: ഗുരുദക്ഷിണ, സീതാകാവ്യചർച്ച, മാരാരുടെ കൂടെ, സാഹിതീ സപര്യ, ധർമജിജ്ഞാസ (പഠനങ്ങൾ), ഗീതാധ്യാനം (വ്യാഖ്യാനം), ഒരമ്മ പെറ്റ മക്കൾ (ബാലസാഹിത്യം). സായാഹ്ന പ്രസിദ്ധീകരിച്ച വി വി ഗോവിന്ദന്നായരുടെ കൃതികളുടെ കണ്ണികൾ ഇവിടെ ലഭ്യമാണു്."
CJ Thomas,തോമസ് സി ജെ,,https://books.sayahna.org/html/sfn-cj-thomas.html,64, | ലേഖനങ്ങൾ,"മലയാളഭാഷയിലെ ഒരു നാടകകൃത്തും സാഹിത്യ നിരൂപകനുമായിരുന്നു സി. ജെ. തോമസ് (നവംബർ 14, 1918–ജൂലൈ 14, 1960) എന്നറിയപ്പെടുന്ന ചൊള്ളമ്പേൽ യോഹന്നാൻ തോമസ്. മലയാള നാടകസാഹിത്യത്തെ ആധുനിക ഘട്ടത്തിൽ എത്തിക്കുന്നതിൽ നിർണ്ണായക പങ്കു് വഹിച്ച ഇദ്ദേഹം പത്രപ്രവർത്തകൻ, ചിത്രകാരൻ എന്നീ നിലകളിലും അറിയപ്പെട്ടിരുന്നു. 1918-ൽ കൂത്താട്ടുകുളത്തെ പ്രമുഖ ക്രിസ്തീയ വൈദികന്റെ മകനായി ജനിച്ച സി. ജെ. വൈദിക വിദ്യാർത്ഥിയായിരിയ്ക്കുന്ന സമയത്തു് ളോഹ ഉപേക്ഷിച്ചു് തിരിച്ചു പോന്നു് വിപ്ലവം സൃഷ്ടിച്ചു. രണ്ടു് വർഷക്കാലം വടകര സെന്റ് ജോൺസ് ഹൈസ്കൂളിലും തുടർന്നു് എം. പി. പോൾസ് കോളേജിലും അദ്ധ്യാപകനായി ജോലി നോക്കിയിരുന്ന അദ്ദേഹം പിന്നീടു് അവസാനം വരെ പത്രപ്രവർത്തന രംഗത്തു് സജീവമായിരുന്നു. സാഹിത്യ പ്രവർത്തക സഹകരണസംഘം, ആകാശവാണി, ദക്ഷിണഭാഷാ ബുക്ക് ട്രസ്റ്റ് എന്നിവയിലും പ്രവർത്തിച്ചു. സാഹിത്യ പ്രവർത്തക സഹകരണസംഘം വക പുസ്തകങ്ങളുടെ പുറംചട്ടകൾക്കു് അത്യധികം ആകർഷകങ്ങളായ ചിത്രങ്ങൾ വരച്ചു് മലയാള പുസ്തകങ്ങളുടെ പുറംചട്ട രൂപകല്പനയുടെ രംഗത്തു് മാറ്റങ്ങളുടെ തുടക്കം കുറിച്ചതു് സി. ജെ.-യാണു്. പ്രസിദ്ധ സാഹിത്യകാരനായിരുന്ന എം. പി. പോളിന്റെ മൂത്ത പുത്രി റോസിയെയാണു് വിവാഹം ചെയ്തതു്. റോസി തോമസ് സി. ജെ.-യുടെ മരണശേഷം അറിയപ്പെടുന്ന സാഹിത്യകാരിയായി. പ്രശസ്ത കവയിത്രി മേരി ജോൺ കൂത്താട്ടുകുളം സി. ജെ. തോമസിന്റെ മൂത്ത സഹോദരിയായിരുന്നു. 1960 ജൂലൈ 14-നു് 42-ാം വയസ്സിൽ സി. ജെ. അന്തരിച്ചു. സായാഹ്ന പ്രസിദ്ധീകരിച്ച സി ജെ തോമസിന്റെ ഡിജിറ്റൽ പതിപ്പുകളുടെ കണ്ണികൾ ഇവിടെ ലഭ്യമാണു്."
Nissar Ahmed,നിസ്സാർ അഹമ്മദ്,,https://books.sayahna.org/html/sfn-nisar.html,7, | ലേഖനങ്ങൾ,"ഒരു പക്ഷെ ആദ്യത്തെ ഉത്തരാധുനികരിൽ ഒരാൾ. ജീവിക്കേണ്ടതു് സ്വന്തം ആഗ്രഹങ്ങൾ അനുസരിച്ചാണോ അതോ സാമൂഹികമായാണോ എന്നു് വ്യക്തമല്ലാതിരുന്ന, സ്വത്വപ്രതിസന്ധികളാൽ ബാധിക്കപ്പെട്ട കാലത്തു് അദ്ദേഹം മദ്രാസിലേയ്ക്കു് പോയി. സാമ്പ്രദായിക ജീവതശൈലി ഉപേക്ഷിച്ചു് പഠനങ്ങളിൽ മുഴുകി. എം. ഗോവിന്ദനോടൊപ്പം അദ്ദേഹത്തിന്റെ പ്രവർത്തനങ്ങളിൽ പങ്കുകൊണ്ടു. പഠന സൗകര്യങ്ങൾ തേടി അദ്ദേഹം കാൺപൂർ ഐ ഐ ടി-യിൽ ചേർന്നു് തത്ത്വചിന്തയിൽ പിഎച്ച്ഡി നേടി. തൊഴിൽ അന്വേഷിക്കാത്തതുകൊണ്ടു് കുറേ കാലം തൊഴിലില്ലാതെ ജീവിച്ചു. യു ആർ അനന്തമൂർത്തി, എം ജി യൂനിവേഴ്സിറ്റിയിൽ ഉണ്ടായിരുന്ന സമയത്തു് അദ്ദേഹം തുടങ്ങി വെച്ച സ്കൂൾ ഓഫ് സോഷ്യൽ സയൻസിൽ നിസാർ അദ്ധ്യാപകനായി ചേർന്നു. പിന്നീടു് കാലടി സംസ്കൃത സർവ്വകലാശാലയിൽ നിന്നു് തത്ത്വചിന്താ വിഭാഗം തലവനായി പിരിഞ്ഞു. നിരവധി ലേഖനങ്ങൾ, പേര് വെയ്ക്കാത്ത ഗ്രന്ഥങ്ങൾ, പ്രഭാഷണങ്ങൾ… ഇവയിലൂടെ പ്രസരിച്ച അദ്ദേഹത്തിന്റെ ചിന്തകൾ ഇന്നത്തെ ബൗദ്ധിക ലോകത്തു്, പ്രത്യേകിച്ചും കേരളത്തിന്റെ, വ്യക്തതയുടെ വെളിച്ചമായി നിലനില്ക്കുന്നു. സായാഹ്ന പ്രസിദ്ധീകരിച്ച നിസ്സാർ അഹമ്മദിന്റെ ഡിജിറ്റൽ പതിപ്പുകളുടെ കണ്ണികൾ ഇവിടെ ലഭ്യമാണു്."
Padmadas,പദ്മദാസ്,,https://books.sayahna.org/html/sfn-padmadas.html,6, | ലേഖനങ്ങൾ,"തൃശ്ശൂർ ജില്ലയിലെ പെരിങ്ങണ്ടൂരിൽ 1963ൽ ജനിച്ചു. തൃശ്ശൂർ കേരളവർമ്മ കോളേജിൽ നിന്നു് ബിരുദം. പബ്ലിക് റിലേഷൻസ്, ബിസിനസ് അഡ്മിനിസ്ട്രേഷൻ എന്നിവയിൽ പി. ജി. ഡിപ്ലോമ. ഇന്ത്യൻ റെയിൽവേ ട്രാഫിക് സർവ്വീസിൽ നിന്നു് ഡെപ്യൂട്ടി ചീഫ് കൊമേഴ്സ്യൽ മാനേജരായി സ്വയം വിരമിച്ചു. ‘നഗരയക്ഷി’, ‘ദേവീവിലാസം സ്കൂൾ’, ‘ഗുരുവായൂർ’, ‘ആൽബട്രോസ്’, ‘പൂക്കാതെയും വാസനിക്കാം’, ‘സ്വപ്നത്തീവണ്ടി’ എന്നീ കവിതാസമാഹാരങ്ങൾ. കുട്ടികൾക്കു വേണ്ടി ‘പന്ത്രണ്ടു സോദരരും ഒരു പെങ്ങളും’ എന്ന കവിതാപുസ്തകം. ‘അനുസ്മൃതികളുടെ സൗഗന്ധികങ്ങൾ’ എന്ന വിഷ്ണുനാരായണൻ നമ്പൂതിരിയുടെ ഓർമ്മക്കുറിപ്പുകളുടെ എഡിറ്റർ. സ്വാതി അയ്യപ്പപ്പണിക്കർ കവിതാ പുരസ്ക്കാരം, മലപ്പുറം ജില്ലാ അഡ്വക്കറ്റ്സ് ക്ലർക്ക്സ് അസോസിയേഷന്റെ ഇടശ്ശേരി അവാർഡ്, സംഘമിത്രം കവിതാപുരസ്ക്കാരം, ഒ. വി. വിജയൻ കവിതാ പുരസ്ക്കാരം, സംഗമസാഹിതി കവിതാ പുരസ്ക്കാരം, സൃഷ്ടി കവിതാ അവാർഡ്, അക്കിത്തം കവിതാപ്രബന്ധത്തിനുള്ള പൗർണ്ണമി പുരസ്ക്കാരം എന്നിവ ലഭിച്ചു."
K. T. Baburaj,ബാബുരാജ് കെ ടി,,https://books.sayahna.org/html/sfn-kt-baburaj.html,8, | ലേഖനം | കഥ,"കണ്ണൂർ ജില്ലയിലെ വളപട്ടണത്തു് ജനനം. അച്ഛൻ കെ. നാരായണൻ, അമ്മ ടി. കാർത്യായനി. രാമവിലാസം എൽ. പി. സ്കൂൾ, വളപട്ടണം ഗവ: ഹൈസ്ക്കൂൾ, കണ്ണൂർ എസ്. എൻ. കോളേജ്, തലശ്ശേരി ബ്രണ്ണൻ കോളേജ്, മാനന്തവാടി ബി. എഡ് സെന്റർ എന്നിവിടങ്ങളിൽ വിദ്യാഭ്യാസം. കണ്ണൂർ ആകാശവാണിയിൽ പ്രോഗ്രാം കോംപിയറായും, വിവിധ പ്രാദേശിക ചാനലുകളിൽ അവതാരകനായും പ്രവർത്തിച്ചിരുന്നു. കുറേക്കാലം സമാന്തര കോളേജുകളിൽ അദ്ധ്യാപകനായി. പ്രൊഫഷണൽ ഫോട്ടോഗ്രാഫറാണു്. അദൃശ്യനായ കോമാളി, തീ അണയുന്നില്ല, ബിനാമി, ഒരു ദീർഘദൂര ഓട്ടക്കാരന്റെ ജീവിതത്തിൽ നിന്നും, മായാ ജീവിതം, സമകാലം (കഥകൾ); സാമൂഹ്യപാഠം, മഴനനഞ്ഞ ശലഭം, പുളിമധുരം, ഭൂതത്താൻ കുന്നിൽ പൂ പറിക്കാൻ പോയ കുട്ടികൾ (ബാലസാഹിത്യം); ജീവിതത്തോടു ചേർത്തുവെച്ച ചില കാര്യങ്ങൾ (അനുഭവം, ഓർമ്മ); ദൈവമുഖങ്ങൾ (നാടകം); ‘Ammu and the butterfly’ എന്ന പേരിൽ മഴ നനഞ്ഞ ശലഭം ഇംഗ്ലീഷിലേക്കു് മൊഴിമാറ്റം ചെയ്യപ്പെട്ടിട്ടുണ്ടു്. അബുദാബി ശക്തി അവാർഡ് (1992), ഭാഷാ പുരസ്ക്കാരം (2003), പി. ടി. ഭാസ്ക്കര പണിക്കർ അവാർഡ് (2014), ഭീമ രജതജൂബിലി പ്രത്യേക പുരസ്ക്കാരം (2015), സാഹിത്യ അക്കാദമി അവാർഡ് (2018), പ്രാദേശിക ദൃശ്യമാദ്ധ്യമ പുരസ്ക്കാരം, കേരള സ്റ്റേറ്റ് ബയോഡൈവേർസിറ്റി ബോർഡിന്റെ ഫോട്ടോഗ്രാഫി അവാർഡ് (2017), കണ്ണാടി സാഹിത്യ പുരസ്ക്കാരം (2019), പ്രൊഫ. കേശവൻ വെള്ളിക്കുളങ്ങര ബാല ശാസ്ത്രസാഹിത്യ അവാർഡ് (2019), എന്നിവ ലഭിച്ചിട്ടുണ്ടു്. കേരള ഫോക് ലോർ അക്കാദമിയുടെ ഡോക്യുമെന്ററി പുരസ്ക്കാരം (2020). സമഗ്ര സംഭാവനയ്ക്കുള്ള സതീർത്ഥ്യ പുരസ്ക്കാരം (2020). കേരള സർക്കാർ പബ്ലിക്ക് റിലേഷൻ വകുപ്പിന്റെ മിഴിവു് 2021 ഷോർട്ട് ഫിലിം അവാർഡ് എന്നിവയും ലഭിച്ചിട്ടുണ്ടു്. ഷോർട്ട് ഫിലിം ഡോക്യുമെന്ററി വിഭാഗങ്ങളിലായി പതിനഞ്ചിലേറെ സിനിമകൾ ചെയ്തിട്ടുണ്ടു്."
Madhusudhanan,മധുസൂദനൻ,,https://books.sayahna.org/html/sfn-km-madhu.html,18, | ലേഖനങ്ങൾ,"ആലപ്പുഴ ജില്ലയിലെ കടലോര പ്രദേശത്തു ജനിച്ചു. തിരുവനന്തപുരം ഫൈൻ ആർട്ട് കോളജിൽ നിന്നും ബറോഡയിലെ എം. എസ്. യൂണിവേഴ്സിറ്റിയിൽ നിന്നും കലാപരിശീലനം. ഇപ്പോൾ സമകാലീനകലയിൽ സാദ്ധ്യമാവുന്ന എല്ലാ മാദ്ധ്യമങ്ങളും ഉപയോഗിച്ചു് കലാപ്രവർത്തനം നടത്തുന്നു. കലാപ്രവർത്തനങ്ങൾക്കായി ഫിലിം എന്ന മാദ്ധ്യമം വിദഗ്ദമായി ഉപയോഗിച്ചതിനു് ന്യൂയോർക്കിലെ മ്യൂസിയം ഓഫ് മോഡേൺ ആർട്ടിൽ നിന്നു് രണ്ടു തവണ ആദരം. ‘മാർക്സ് ആർകൈവ്’ എന്ന ഇൻസ്റ്റലേഷൻ രണ്ടാമത്തെ കൊച്ചി മുസരീസ് ബിയനാലെയിൽ പ്രദർശിപ്പിച്ചിരുന്നു. 2015-ലെ വെനീസ് ബിയനാലെയിൽ ‘മാർക്സ് ആർകൈവ്’, ‘പീനൽ കോളനി’ എന്നീ ഇൻസ്റ്റലേഷനുകൾ പ്രദർശിപ്പിച്ചിട്ടുണ്ടു്. ‘ബയസ്ക്കോപ്’ എന്ന സിനിമക്കു് മൂന്നു് അന്തർദേശീയ പുരസ്കാരങ്ങൾ. ബയസ്ക്കോപ് അഞ്ചു സംസ്ഥാന പുരസ്കാരങ്ങളും ദേശീയ അവാർഡും നേടിയിരുന്നു. സായാഹ്ന പ്രസിദ്ധീകരിച്ച കെ എം മധുസൂദനന്റെ ഡിജിറ്റൽ പതിപ്പുകളുടെ കണ്ണികൾ ഇവിടെ ലഭ്യമാണു്."
