work_id,author,author_ml,author_name_tei,author_page,title_ml,title_en,toc_title,section_label,work_type,keywords,domain,derivation,factuality,constitution,language,source_url,html_url,publisher,pub_place,digital_edition_date,digital_edition_year,source_pub_year,source_publisher,source_pages,typeset_by,edited_by,encoded_by,sponsor,funder,licence,licence_url,setting_place,setting_time,word_count,char_count,para_count,chillu_atomic,chillu_zwj,chillu_encoding,unicode_form,sha256
karassery-agathi,M. N. Karassery,കാരശ്ശേരി എം എൻ,M. N. Karassery,https://books.sayahna.org/html/sfn-karassery.html,അഗതിയായ് വന്നവൻ,Agathiyay Vannavan,അഗതിയായ് വന്നവൻ,Essay,article,Article; M. N. Karassery; Agathiyay Vannavan; എം. എൻ. കാരശ്ശേരി; അഗതിയായ് വന്നവൻ; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/karassery-agathi.xml,https://books.sayahna.org/html/karassery-agathi.html,Sayahna Foundation,"Trivandrum, India","October 12, 2023",2023,,Not available,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attr,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,"October 12, 2023",724,7352,48,157,0,atomic,NFC,ecfa84fab56ef872f41dd47f3bdf7574a4bfd69f99d5768b32909872bd34a013
karassery-queue,M. N. Karassery,കാരശ്ശേരി എം എൻ,M. N. Karassery,https://books.sayahna.org/html/sfn-karassery.html,അധികാരികൾക്കു് മുമ്പിലെ ക്യൂ,Adhikarikalkku Munpile Queue,അധികാരികൾക്കു് മുമ്പിലെ ക്യൂ,Essay,article,Article; M. N. Karassery; Adhikarikalkku Munpile Queue; എം. എൻ. കാരശ്ശേരി; അധികാരികൾക്കു് മുമ്പിലെ ക്യൂ; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/karassery-queue.xml,https://books.sayahna.org/html/karassery-queue.html,Sayahna Foundation,"Trivandrum, India","December 28, 2023",2023,,Not available,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attr,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,"December 28, 2023",695,7215,24,168,0,atomic,NFC,5f0c6b06b96ca58e465ff1eb501b1befefd909d05b6ebae449a2705a57e96ecc
karassery-arangu,M. N. Karassery,കാരശ്ശേരി എം എൻ,M. N. Karassery,https://books.sayahna.org/html/sfn-karassery.html,അരങ്ങുമായി മുഖാമുഖം,Arangumayi Mukhamukham,അരങ്ങുമായി മുഖാമുഖം,Essay,article,Article; M. N. Karassery; Arangumayi Mukhamukham; എം. എൻ. കാരശ്ശേരി; അരങ്ങുമായി മുഖാമുഖം; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/karassery-arangu.xml,https://books.sayahna.org/html/karassery-arangu.html,Sayahna Foundation,"Trivandrum, India","December 28, 2023",2023,,Not available,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attr,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,"December 28, 2023",1082,11830,14,260,0,atomic,NFC,7ae4ade93dd0c787a6dc3062c086d284a2e18b1fb0290f4a482fdc6e05d1d65e
karassery-ariyethra,M. N. Karassery,കാരശ്ശേരി എം എൻ,M. N. Karassery,https://books.sayahna.org/html/sfn-karassery.html,അരിയെത്ര? പയറഞ്ഞാഴി!,Ariyethra? Payaranjazhi!,അരിയെത്ര? പയറഞ്ഞാഴി!,Essay,article,Article; M. N. Karassery; Ariyethra? Payaranjazhi!; എം. എൻ. കാരശ്ശേരി; അരിയെത്ര? പയറഞ്ഞാഴി!; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/karassery-ariyethra.xml,https://books.sayahna.org/html/karassery-ariyethra.html,Sayahna Foundation,"Trivandrum, India","October 11, 2023",2023,,Not available,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attr,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,"October 11, 2023",1003,11110,40,219,0,atomic,NFC,c159c5af9589775e5ac744e9eefb424c567c56710f2b4ac21a91653174978338
karassery-arabi,M. N. Karassery,കാരശ്ശേരി എം എൻ,M. N. Karassery,https://books.sayahna.org/html/sfn-karassery.html,അറബി-മലയാള സാഹിത്യം,Arabi-Malayalam Sahithyam,അറബി-മലയാള സാഹിത്യം,Essay,article,Article; M. N. Karassery; Arabi-Malayalam Sahithyam; എം. എൻ. കാരശ്ശേരി; അറബി-മലയാള സാഹിത്യം; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/karassery-arabi.xml,https://books.sayahna.org/html/karassery-arabi.html,Sayahna Foundation,"Trivandrum, India","August 24, 2023",2023,,Not available,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attr,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,"August 24, 2023",1138,12705,25,289,0,atomic,NFC,b47b73b31ba2374b6fb06131209cb5854430254321dfaeebea4a56cddb3cf070
karassery-arabian,M. N. Karassery,കാരശ്ശേരി എം എൻ,M. N. Karassery,https://books.sayahna.org/html/sfn-karassery.html,അറേബ്യൻ ഗാന്ധി,Arabian Gandhi,അറേബ്യൻ ഗാന്ധി,Essay,article,Article; M. N. Karassery; Arabian Gandhi; എം. എൻ. കാരശ്ശേരി; അറേബ്യൻ ഗാന്ധി; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/karassery-arabian.xml,https://books.sayahna.org/html/karassery-arabian.html,Sayahna Foundation,"Trivandrum, India","December 24, 2023",2023,,Not available,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attr,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,"December 24, 2023",338,3281,19,78,0,atomic,NFC,a39264e60a7a0f286b15be2c3fc680a69280dbb2e46da5e54c4645c9898b93fb
karassery-athmakatha,M. N. Karassery,കാരശ്ശേരി എം എൻ,M. N. Karassery,https://books.sayahna.org/html/sfn-karassery.html,ആത്മകഥ,Athmakatha,ആത്മകഥ,Essay,article,Article; M. N. Karassery; Athmakatha; എം. എൻ. കാരശ്ശേരി; ആത്മകഥ; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/karassery-athmakatha.xml,https://books.sayahna.org/html/karassery-athmakatha.html,Sayahna Foundation,"Trivandrum, India","January 23, 2024",2024,,Not available,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attr,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,"January 23, 2024",420,4466,13,115,0,atomic,NFC,79b8a70886728f1cc82e703883247a11d3704e3ac9527efd4ac6ae64b74f7309
karassery-marunadan,M. N. Karassery,കാരശ്ശേരി എം എൻ,M. N. Karassery,https://books.sayahna.org/html/sfn-karassery.html,ആദ്യത്തെ മറുനാടൻ പ്രസംഗം,Adyaththe Marunadan Prasangam,ആദ്യത്തെ മറുനാടൻ പ്രസംഗം,Essay,article,Article; M. N. Karassery; Adyaththe Marunadan Prasangam; എം. എൻ. കാരശ്ശേരി; ആദ്യത്തെ മറുനാടൻ പ്രസംഗം; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/karassery-marunadan.xml,https://books.sayahna.org/html/karassery-marunadan.html,Sayahna Foundation,"Trivandrum, India","October 31, 2023",2023,,Not available,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attr,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,"October 31, 2023",1444,13771,64,301,0,atomic,NFC,4b80ccde97721550807f429ff1c3373554570070f1c2220a0c18ceae354e9677
karassery-vamozhi,M. N. Karassery,കാരശ്ശേരി എം എൻ,M. N. Karassery,https://books.sayahna.org/html/sfn-karassery.html,ആധുനികോത്തരകാലത്തെ വാമൊഴി,Adhunikoththarakalaththe Vamozhi,ആധുനികോത്തരകാലത്തെ വാമൊഴി,Essay,article,Article; M. N. Karassery; Adhunikoththarakalaththe Vamozhi; എം. എൻ. കാരശ്ശേരി; ആധുനികോത്തരകാലത്തെ വാമൊഴി; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/karassery-vamozhi.xml,https://books.sayahna.org/html/karassery-vamozhi.html,Sayahna Foundation,"Trivandrum, India","December 21, 2023",2023,,Not available,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attr,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,"December 21, 2023",1156,12694,31,260,0,atomic,NFC,bcce1405ca45222240211c88961c87580c6fdfeabefc901d24c75d287d7c50b3
karassery-ramachandran,M. N. Karassery,കാരശ്ശേരി എം എൻ,M. N. Karassery,https://books.sayahna.org/html/sfn-karassery.html,ആർ. രാമചന്ദ്രൻ ചിരിക്കുന്നു,R. Ramachandran Chirikkunnu,ആർ. രാമചന്ദ്രൻ ചിരിക്കുന്നു,Essay,article,Article; M. N. Karassery; R. Ramachandran Chirikkunnu; എം. എൻ. കാരശ്ശേരി; ആർ. രാമചന്ദ്രൻ ചിരിക്കുന്നു; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/karassery-ramachandran.xml,https://books.sayahna.org/html/karassery-ramachandran.html,Sayahna Foundation,"Trivandrum, India","December 24, 2023",2023,,Not available,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attr,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,"December 24, 2023",484,4915,12,124,0,atomic,NFC,f4496b86c5a5c3d19599cf79ea655ced0446ece0bfc58bebf7fdeae08cddb0e9
karassery-indan,M. N. Karassery,കാരശ്ശേരി എം എൻ,M. N. Karassery,https://books.sayahna.org/html/sfn-karassery.html,‘ഇണ്ടനമ്മാവ’ന്റെ കാലിലെ ചളി,‘Indanammava’nte Kaalile Chali,‘ഇണ്ടനമ്മാവ’ന്റെ കാലിലെ ചളി,Essay,article,Article; M. N. Karassery; ‘Indanammava’nte Kaalile Chali; എം. എൻ. കാരശ്ശേരി; ‘ഇണ്ടനമ്മാവ’ന്റെ കാലിലെ ചളി; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/karassery-indan.xml,https://books.sayahna.org/html/karassery-indan.html,Sayahna Foundation,"Trivandrum, India","January 8, 2024",2024,,Not available,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attr,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,"January 8, 2024",543,5286,12,115,0,atomic,NFC,d63f19d0fd26ee553827cb28934feb8092e2ea57f2b264c8703b8717c50bf2e5
karassery-usama,M. N. Karassery,കാരശ്ശേരി എം എൻ,M. N. Karassery,https://books.sayahna.org/html/sfn-karassery.html,ഉസാമ: മരണത്തിന്റെ പാതകൾ,Usama: Maranaththinte Pathakal,ഉസാമ: മരണത്തിന്റെ പാതകൾ,Essay,article,Article; M. N. Karassery; Usama: Maranaththinte Pathakal; എം. എൻ. കാരശ്ശേരി; ഉസാമ: മരണത്തിന്റെ പാതകൾ; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/karassery-usama.xml,https://books.sayahna.org/html/karassery-usama.html,Sayahna Foundation,"Trivandrum, India","December 1, 2023",2023,,Not available,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attr,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,"December 1, 2023",983,10598,24,234,0,atomic,NFC,e685fa951ace4de9d61cebab9f8cc10978322cc7d69368c11ad2c082e5b3ed96
karassery-urakkara,M. N. Karassery,കാരശ്ശേരി എം എൻ,M. N. Karassery,https://books.sayahna.org/html/sfn-karassery.html,ഉറക്കറരഹസ്യം,Urakkararahasyam,ഉറക്കറരഹസ്യം,Essay,article,Article; M. N. Karassery; Urakkararahasyam; എം. എൻ. കാരശ്ശേരി; ഉറക്കറരഹസ്യം; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/karassery-urakkara.xml,https://books.sayahna.org/html/karassery-urakkara.html,Sayahna Foundation,"Trivandrum, India","October 9, 2023",2023,,Not available,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attr,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,"October 9, 2023",537,5686,29,129,0,atomic,NFC,37742e73014d423efeabcd9636b9b2ef7100ce56fd4014256de7e440a76e4643
karassery-nagaram,M. N. Karassery,കാരശ്ശേരി എം എൻ,M. N. Karassery,https://books.sayahna.org/html/sfn-karassery.html,എഴുത്തുകാരനും സ്വന്തം നഗരവും,Ezhuththukaranum Swantham Nagaravum,എഴുത്തുകാരനും സ്വന്തം നഗരവും,Essay,article,Article; M. N. Karassery; Ezhuththukaranum Swantham Nagaravum; എം. എൻ. കാരശ്ശേരി; എഴുത്തുകാരനും സ്വന്തം നഗരവും; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/karassery-nagaram.xml,https://books.sayahna.org/html/karassery-nagaram.html,Sayahna Foundation,"Trivandrum, India","January 12, 2024",2024,,Not available,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attr,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,"January 12, 2024",1448,15649,21,313,0,atomic,NFC,053ba61a8d503cbde9c88c38540548c15b173ccf3ac3e09e49b0f3a4959fa5d4
karassery-chiri,M. N. Karassery,കാരശ്ശേരി എം എൻ,M. N. Karassery,https://books.sayahna.org/html/sfn-karassery.html,ഏതു കണ്ണീരിലുമുണ്ടു് ചിരി,Ethu Kanneerilumundu Chiri,ഏതു കണ്ണീരിലുമുണ്ടു് ചിരി,Essay,article,Article; M. N. Karassery; Ethu Kanneerilumundu Chiri; എം. എൻ. കാരശ്ശേരി; ഏതു കണ്ണീരിലുമുണ്ടു് ചിരി; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/karassery-chiri.xml,https://books.sayahna.org/html/karassery-chiri.html,Sayahna Foundation,"Trivandrum, India","December 24, 2023",2023,,Not available,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attr,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,"December 24, 2023",310,3016,18,66,0,atomic,NFC,b934f5c944eca0bbe09e90b8aa8bca22274a5f92dc6a349d7999b2a4e005462f
karassery-athmahathya,M. N. Karassery,കാരശ്ശേരി എം എൻ,M. N. Karassery,https://books.sayahna.org/html/sfn-karassery.html,ഒരു ആത്മഹത്യാകുറിപ്പു്,Oru Athmahathyakurippu,ഒരു ആത്മഹത്യാകുറിപ്പു്,Essay,article,Article; M. N. Karassery; Oru Athmahathyakurippu; എം. എൻ. കാരശ്ശേരി; ഒരു ആത്മഹത്യാകുറിപ്പു്; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/karassery-athmahathya.xml,https://books.sayahna.org/html/karassery-athmahathya.html,Sayahna Foundation,"Trivandrum, India","October 13, 2023",2023,,Not available,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attr,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,"October 13, 2023",663,6376,27,179,0,atomic,NFC,8e2f8e4428178d8d6b3303c9395496d39e0189472eb41e9c498f4563782a7fa2
karassery-kandoli,M. N. Karassery,കാരശ്ശേരി എം എൻ,M. N. Karassery,https://books.sayahna.org/html/sfn-karassery.html,കണ്ടോളിപ്പാറയുടെ ഇളംചൂടു്,Kandolipparayude Ilamchoodu,കണ്ടോളിപ്പാറയുടെ ഇളംചൂടു്,Essay,article,Article; M. N. Karassery; Kandolipparayude Ilamchoodu; എം. എൻ. കാരശ്ശേരി; കണ്ടോളിപ്പാറയുടെ ഇളംചൂടു്; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/karassery-kandoli.xml,https://books.sayahna.org/html/karassery-kandoli.html,Sayahna Foundation,"Trivandrum, India","November 2, 2023",2023,,Not available,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attr,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,"November 2, 2023",1750,17304,33,385,0,atomic,NFC,44e62a9252761affdf7bac23f8612c160b74457dc4b853f441035effafd19ec9
