author,works,words,median_words,shortest,longest,types
Kuttipuzha Krishnapilla,146,130027,744.0,93,5014,"article, interview"
M. N. Karassery,125,117807,791.0,266,3469,article
K. Rajeswari,92,116004,1189.0,507,2360,article
CJ Thomas,64,52397,789.0,292,2360,article
Kesari Balakrishna Pillai,46,75745,1549.0,601,3161,article
Sanjayan,34,24458,542.5,126,1698,"article, article, humour, satire"
Vallathol Vasudevamenon B. A.,19,23229,1077.0,659,2850,"article, story, thoolikachithram"
Madhusudhanan,18,21691,1331.0,297,1790,article
T. A. Rajalakshmi,14,52598,1550.0,234,26560,"article, poem, short story, story"
KGS,12,10947,253.0,5,5716,"article, poem, speech on poetry"
V. K. K. Ramesh,11,14840,1488.0,360,2726,"article, short story, story"
K. T. Baburaj,8,9582,1299.0,677,1577,"article, short story"
Nissar Ahmed,7,21475,3180.0,667,4970,article
Sundar,7,8215,870.0,241,2692,article
Padmadas,6,8122,1263.5,1051,1732,"article, poetry study"
Zacharia,6,8890,1742.0,513,2308,"article, memoir, short story, speech, story"
V. V. Govindannair,5,13722,2880.0,1891,3193,article
