work_id,author,author_ml,author_name_tei,title_ml,title_en,section_label,work_type,keywords,domain,derivation,factuality,constitution,language,source_url,html_url,publisher,pub_place,digital_edition_date,digital_edition_year,source_pub_year,source_publisher,source_pages,typeset_by,edited_by,encoded_by,sponsor,funder,licence,licence_url,setting_place,setting_time,word_count,char_count,para_count,chillu_atomic,chillu_zwj,chillu_encoding,unicode_form,sha256
harikumar-ayanangal,E. Harikumar,ഹരികുമാർ ഇ,E Harikumar,അയനങ്ങൾ,Ayanangal,Story,novel,Novel; E Harikumar; Ayanangal; ഇ ഹരികുമാർ; അയനങ്ങൾ; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/harikumar-ayanangal.xml,https://books.sayahna.org/html/harikumar-ayanangal.html,Sayahna Foundation,"Trivandrum, India","April 19, 2026",2026,2013,http://e-harikumar.com,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attribution By NonCommercial ShareAlike 4​.0 International License (CC BY-NC-SA 4​.0). Commercial use of the content is prohibited. Any reuse of the material should credit the Sayahna Foundation and must be shared under the same terms.,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,2013,13324,129056,909,3656,0,atomic,NFC,5fdcbe868aa418ced996e4971bbc94d2cde133e0399ff589c2dc395ebe7260f5
harikumar-ariya,E. Harikumar,ഹരികുമാർ ഇ,E Harikumar,അറിയാത്തലങ്ങളിലേയ്ക്കു്,Ariyaththalangalileykku,Story,novel,Novel; E Harikumar; Ariyaththalangalileykku; ഇ ഹരികുമാർ; അറിയാത്തലങ്ങളിലേയ്ക്കു്; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/harikumar-ariya.xml,https://books.sayahna.org/html/harikumar-ariya.html,Sayahna Foundation,"Trivandrum, India","April 24, 2026",2026,2013,http://e-harikumar.com,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attribution By NonCommercial ShareAlike 4​.0 International License (CC BY-NC-SA 4​.0). Commercial use of the content is prohibited. Any reuse of the material should credit the Sayahna Foundation and must be shared under the same terms.,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,2013,20731,205839,1195,3864,0,atomic,NFC,7c773268a4ee12c5e462e1779ff03227592ab83a342cac2ef36567b566fe5005
harikumar-asakthi,E. Harikumar,ഹരികുമാർ ഇ,E Harikumar,ആസക്തിയുടെ അഗ്നിനാളങ്ങള്‍,Asakthiyude Agninalangal,Story,novel,Novel; E Harikumar; Asakthiyude Agninalangal; ഇ ഹരികുമാർ; ആസക്തിയുടെ അഗ്നിനാളങ്ങള്‍; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/harikumar-asakthi.xml,https://books.sayahna.org/html/harikumar-asakthi.html,Sayahna Foundation,"Trivandrum, India","April 6, 2026",2026,2013,http://e-harikumar.com,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attribution By NonCommercial ShareAlike 4​.0 International License (CC BY-NC-SA 4​.0). Commercial use of the content is prohibited. Any reuse of the material should credit the Sayahna Foundation and must be shared under the same terms.,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,2013,8394,87952,494,2147,0,atomic,NFC,f4d5d43855428041519b434974c55537da29c461e28bc5ac8e2a563e35acbc7b
harikumar-urangunna,E. Harikumar,ഹരികുമാർ ഇ,E Harikumar,ഉറങ്ങുന്ന സര്‍പ്പങ്ങൾ,Urangunna Sarppangal,Story,novel,Novel; E Harikumar; Urangunna Sarppangal; ഇ ഹരികുമാർ; ഉറങ്ങുന്ന സര്‍പ്പങ്ങൾ; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/harikumar-urangunna.xml,https://books.sayahna.org/html/harikumar-urangunna.html,Sayahna Foundation,"Trivandrum, India","April 1, 2026",2026,2013,http://e-harikumar.com,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attribution By NonCommercial ShareAlike 4​.0 International License (CC BY-NC-SA 4​.0). Commercial use of the content is prohibited. Any reuse of the material should credit the Sayahna Foundation and must be shared under the same terms.,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,2013,9289,91055,644,2441,0,atomic,NFC,4efdf68ebf5825769eb7869df167d1759f586ae21e509a8b0add42f5f5eb8196
harikumar-engine,E. Harikumar,ഹരികുമാർ ഇ,E Harikumar,എഞ്ചിൻഡ്രൈവറെ സ്നേഹിച്ച പെൺകുട്ടി,Enginedrivere Snehicha Penkutti,Story,novel,Novel; E Harikumar; Enginedrivere Snehicha Penkutti; ഇ ഹരികുമാർ; എഞ്ചിൻഡ്രൈവറെ സ്നേഹിച്ച പെൺകുട്ടി; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/harikumar-engine.xml,https://books.sayahna.org/html/harikumar-engine.html,Sayahna Foundation,"Trivandrum, India","April 15, 2026",2026,2013,http://e-harikumar.com,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attribution By NonCommercial ShareAlike 4​.0 International License (CC BY-NC-SA 4​.0). Commercial use of the content is prohibited. Any reuse of the material should credit the Sayahna Foundation and must be shared under the same terms.,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,2013,9011,91748,704,2435,0,atomic,NFC,d291076f996e53e4305b037d0b4a3d6f36a4ef9e295cc31c8e06be6027bdd8da
harikumar-choru,E. Harikumar,ഹരികുമാർ ഇ,E. Harikumar,ഒരു ഉരുള ചോറു്,Oru Urula Choru,Story,short story,Short story; E. Harikumar; Oru Urula Choru; ഇ. ഹരികുമാർ; ഒരു ഉരുള ചോറു്; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/harikumar-choru.xml,https://books.sayahna.org/html/harikumar-choru.html,Sayahna Foundation,"Trivandrum, India","December 5, 2022",2022,2021,Sayahna Foundation,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attribution By NonCommercial ShareAlike 4​.0 International License (CC BY-NC-SA 4​.0). Commercial use of the content is prohibited. Any reuse of the material should credit the Sayahna Foundation and must be shared under the same terms.,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Trivandrum, Kerala, India",2021-03-19,1375,13230,98,322,0,atomic,NFC,8630255072193fa23ba1fb6218963841e8558df0e9fb6d5a985dbef9f98cf0cf
harikumar-kudumbapuranam,E. Harikumar,ഹരികുമാർ ഇ,E Harikumar,ഒരു കുടുംബപുരാണം,Oru Kudumbapuranam,Story,novel,Novel; E Harikumar; Oru Kudumbapuranam; ഇ ഹരികുമാർ; ഒരു കുടുംബപുരാണം; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/harikumar-kudumbapuranam.xml,https://books.sayahna.org/html/harikumar-kudumbapuranam.html,Sayahna Foundation,"Trivandrum, India","April 13, 2026",2026,2013,http://e-harikumar.com,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attribution By NonCommercial ShareAlike 4​.0 International License (CC BY-NC-SA 4​.0). Commercial use of the content is prohibited. Any reuse of the material should credit the Sayahna Foundation and must be shared under the same terms.,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,2013,21573,219182,1489,4054,0,atomic,NFC,509782f6e0235ee357cad04bb5e9e2bfb0e3acb2e25774ff39fc3e8dda7af15a
harikumar-kochambratti,E. Harikumar,ഹരികുമാർ ഇ,E Harikumar,കൊച്ചമ്പ്രാട്ടി,Kochambratti,Story,novel,Novel; E Harikumar; Kochambratti; ഇ ഹരികുമാർ; കൊച്ചമ്പ്രാട്ടി; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/harikumar-kochambratti.xml,https://books.sayahna.org/html/harikumar-kochambratti.html,Sayahna Foundation,"Trivandrum, India","April 30, 2026",2026,2013,http://e-harikumar.com,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attribution By NonCommercial ShareAlike 4​.0 International License (CC BY-NC-SA 4​.0). Commercial use of the content is prohibited. Any reuse of the material should credit the Sayahna Foundation and must be shared under the same terms.,https://creativecommons.org/licenses/by-nc-sa/4.0/,India,2013,30388,307404,1690,6160,0,atomic,NFC,c5f07ecaa640f37cc205b4563406f874e32d0a7462ab490fbc08e8b423a092e5
e-harikumar-01,E. Harikumar,ഹരികുമാർ ഇ,E. Harikumar,ദിനോസറിന്റെ കുട്ടി,Dinosarinte Kutti,Story,short story,Short Story; E. Harikumar; Dinosarinte Kutti; ഇ. ഹരികുമാർ; ദിനോസറിന്റെ കുട്ടി; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/e-harikumar-01.xml,https://books.sayahna.org/html/e-harikumar-01.html,Sayahna Foundation,"Trivandrum, India","November 2, 2022",2022,2020,Sayahna Foundation,20,CVR,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attribution By NonCommercial ShareAlike 4​.0 International License (CC BY-NC-SA 4​.0). Commercial use of the content is prohibited. Any reuse of the material should credit the Sayahna Foundation and must be shared under the same terms.,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Trivandrum, Kerala, India",2020-05-10,2200,21360,139,511,0,atomic,NFC,f0387653dac363397353b87b4c2ade46dda524eed517ea3d379d920ec122eb57
harikumar-pachapayyu,E. Harikumar,ഹരികുമാർ ഇ,E. Harikumar,പച്ചപ്പയ്യിനെ പിടിക്കാൻ,Pachappayyine Pidikkan,Story,short story,Short story; E. Harikumar; Pachappayyine Pidikkan; ഇ. ഹരികുമാർ; പച്ചപ്പയ്യിനെ പിടിക്കാൻ; Open Access Publishing; Malayalam; Sayahna Foundation; Free Software; XML,art,orginal,fact,single,ml,https://books.sayahna.org/xml/harikumar-pachapayyu.xml,https://books.sayahna.org/html/harikumar-pachapayyu.html,Sayahna Foundation,"Trivandrum, India","December 9, 2022",2022,2021,Sayahna Foundation,20,JN Jamuna,PK Ashok,JN Jamuna,Sayahna Foundation,River Valley Technologies,The text of the original item is copyrighted to the author. The text encoding and editorial notes were created and​/or prepared by the Sayahna Foundation and are licensed under a Creative Commons Attribution By NonCommercial ShareAlike 4​.0 International License (CC BY-NC-SA 4​.0). Commercial use of the content is prohibited. Any reuse of the material should credit the Sayahna Foundation and must be shared under the same terms.,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Trivandrum, Kerala, India",2021-04-02,1734,17248,99,365,0,atomic,NFC,efe9f97e68990789186507cb4757634c53bcc5b81535c4efdb5ee150c5fe3302
