author,works,words,median_words,shortest,longest,types
Vallathol Vasudevamenon B. A.,19,23229,1077.0,659,2850,"article, story, thoolikachithram"
T. A. Rajalakshmi,14,52598,1550.0,234,26560,"article, poem, short story, story"
E. Harikumar,14,123949,5297.0,663,30388,"novel, short story, story"
K. Satchidanandan,10,15679,473.0,58,11375,"drama, poem, poem, study"
V. K. K. Ramesh,10,12114,1182.5,360,2188,"article, short story, story"
Sabu Hariharan,9,16467,1740.0,661,2647,short story
K. Sukumaran,9,171741,15203.0,2281,52345,"drama, novel, short story, story"
Aymanam John,9,13867,1629.0,756,2332,short story
Bineesh Pilasseri,8,11301,1242.0,538,3227,short story
K. T. Baburaj,8,9582,1299.0,677,1577,"article, short story"
C. Santhosh Kumar,6,12933,2445.0,1416,2632,short story
Paul Zacharia,6,8890,1742.0,513,2308,"article, memoir, short story, speech, story"
S. V. Venugopan Nair,5,7453,1315.0,1222,1910,short story
